 	 	MTGBETA - SCRYE #5

 	 	CARD NAME	COLOR	TYPE	RARITY	HIGH	MEDIAN		LOW
B	1	Air Elemental	U	Sum	U	3.30	3.00	 	2.40
B	2	Ancestral Recall	U	Ins	R	45.00	41.00	é	35.00
B	3	Animate Artifact	U	EArt	U	3.00	3.00	é	1.90
B	4	Animate Dead	B	EDCr	U	3.00	2.80	é	1.60
B	5	Animate Wall	W	EW	R	7.50	6.00	 	6.00
B	6	Ankh of Mishra	A	C	R	7.50	5.30	ê	4.50
B	7	Armageddon	W	Sor	R	10.50	10.00	 	6.30
B	8	Aspect of Wolf	G	ECr	R	10.00	9.40	ê	7.10
B	9	Bad Moon	B	E	R	10.00	10.00	 	7.90
B	10	Badlands	B/R	DL	R	12.00	10.25	é	8.80
B	11	Balance	W	Sor	R	9.80	8.00	ê	6.50
B	12	Basalt Monolith	A	M	U	3.00	3.00	 	2.10
B	13	Bayou	B/G	DL	R	12.00	10.25	é	8.80
B	14	Benalish Hero	W	Sum	C	1.00	0.80	é	0.50
B	15	Berserk	G	Ins	U	17.50	15.00	é	12.00
B	16	Birds of Paradise	G	Sum	R	10.00	9.00	ê	8.40
B	17	Black Knight	B	Sum	U	4.00	3.00	 	2.70
B	18	Black Lotus	A	M	R	117.00	90.00	é	63.75
B	19	Black Vise	A	C	U	3.50	3.00	 	1.90
B	20	Black Ward	W	ECr	U	2.50	2.00	 	0.90
B	21	Blaze of Glory	W	Ins	R	40.00	35.00	 	26.25
B	22	Blessing	W	ECr	R	10.00	9.00	ê	6.50
B	23	Blue Elemental Blast	U	Int	C	1.00	0.80	é	0.50
B	24	Blue Ward	W	ECr	U	2.50	2.00	 	0.90
B	25	Bog Wraith	B	Sum	U	3.50	3.00	 	1.90
B	26	Braingeyser	U	Sor	R	10.00	9.40	ê	5.00
B	27	Burrowing	R	ECr	U	3.00	2.00	ê	1.60
B	28	Camouflage	G	Ins	U	10.00	8.00	 	7.00
B	29	Castle	W	E	U	3.00	3.00	é	2.10
B	30	Celestial Prism	A	M	U	3.50	3.00	 	2.40
B	31	Channel	G	Sor	U	3.30	2.80	ê	2.30
B	32	Chaos Orb	A	M	R	50.00	45.00	é	40.00
B	33	Chaoslace	R	Int	R	7.50	6.00	 	3.80
B	296	CoP:Black	W	E	C	1.00	0.90	é	0.60
B	34	CoP:Blue	W	E	C	1.00	0.80	é	0.50
B	35	CoP:Green	W	E	C	1.00	0.80	é	0.50
B	36	CoP:Red	W	E	C	1.00	0.80	é	0.50
B	37	CoP:White	W	E	C	1.00	0.80	é	0.50
B	38	Clockwork Beast	A	Cr	R	9.30	8.90	ê	7.50
B	39	Clone	U	Sum	U	3.50	3.00	ê	2.80
B	40	Cockatrice	G	Sum	R	10.00	9.40	ê	7.90
B	41	Consecrate Land	W	EL	U	10.00	8.00	 	7.50
B	42	Conservator	A	M	U	3.00	2.00	ê	1.90
B	43	Contract from Below	B	Sor	R	6.30	5.10	ê	3.80
B	44	Control Magic	U	ECr	U	3.50	3.00	 	1.90
B	45	Conversion	W	E	U	3.00	3.00	é	2.10
B	46	Copper Tablet	A	C	U	9.10	6.50	ê	5.50
B	47	Copy Artifact	U	E	R	8.50	7.00	ê	4.00
B	48	Counterspell	U	Int	U	3.00	3.00	 	3.00
B	49	Craw Wurm	G	Sum	C	1.00	1.00	é	0.50
B	50	Creature Bond	U	ECr	C	1.00	0.80	é	0.50
B	51	Crusade	W	E	R	10.25	10.00	 	8.00
B	52	Crystal Rod	A	P	U	3.00	3.00	 	1.90
B	53	Cursed Land	B	EL	U	3.00	3.00	é	1.90
B	54	Cyclopean Tomb	A	M	R	43.75	40.00	 	30.00
B	55	Dark Ritual	B	Int	C	1.00	0.80	é	0.50
B	56	Darkpact	B	Sor	R	7.50	7.00	é	3.50
B	57	Death Ward	W	Ins	C	1.00	0.80	é	0.50
B	58	Deathgrip	B	E	U	3.00	2.50	ê	1.90
B	59	Deathlace	B	Int	R	6.10	4.00	ê	3.30
B	60	Demonic Attorney	B	Sor	R	6.60	5.00	ê	3.50
B	61	Demonic Hordes	B	Sum	R	15.00	10.50	ê	9.00
B	62	Demonic Tutor	B	Sor	U	3.80	3.50	 	3.00
B	63	Dingus Egg	A	C	R	9.30	7.00	ê	5.80
B	64	Disenchant	W	Ins	C	1.00	1.00	 	0.80
B	65	Disintegrate	R	Sor	C	1.10	1.00	é	0.70
B	66	Disrupting Scepter	A	M	R	8.00	6.00	ê	4.60
B	67	Dragon Whelp	R	Sum	U	4.00	3.00	 	2.90
B	68	Drain Life	B	Sor	C	1.00	0.80	é	0.50
B	69	Drain Power	U	Sor	R	10.00	9.40	ê	7.10
B	70	Drudge Skeletons	B	Sum	C	1.00	0.80	é	0.50
B	71	Dwarven Demolition Team	R	Sum	U	8.00	6.50	 	5.00
B	72	Dwarven Warriors	R	Sum	C	1.00	0.90	é	0.50
B	73	Earth Elemental	R	Sum	U	3.00	3.00	 	1.90
B	74	Earthbind	R	ECr	C	1.00	0.80	é	0.50
B	75	Earthquake	R	Sor	R	8.40	8.00	é	5.50
B	76	Elvish Archers	G	Sum	R	9.00	8.10	ê	6.40
B	77	Evil Presence	B	EL	U	3.00	3.00	é	1.90
B	78	False Orders	R	Ins	C	6.30	4.00	é	3.50
B	79	Farmstead	W	E	R	8.00	6.00	ê	4.60
B	80	Fastbond	G	E	R	7.50	6.00	 	4.50
B	81	Fear	B	ECr	C	1.00	1.00	é	0.80
B	82	Feedback	U	EE	U	3.00	3.00	 	1.40
B	83	Fire Elemental	R	Sum	U	3.00	2.80	é	1.90
