 	 	FALLEN EMPIRES - SCRYE #5
 	 	CARD NAME	COL	RARITY	UPPER	MEDIAN	LOWER
F	1347	Aeolipile	Be	U1	4.30	3.00	1.70
F	1348A	Armor Thrull (a)	B	C1	0.90	0.50	0.40
F	1348B	Armor Thrull (b)	B	C1	0.90	0.50	0.40
F	1348C	Armor Thrull (c)	B	C1	0.90	0.50	0.40
F	1348D	Armor Thrull (d)	B	C1	0.90	0.50	0.40
F	1349	Balm of Restoration	Be	U1	4.30	3.00	1.40
F	1350A	Basal Thrull (a)	B	C1	1.00	0.50	0.40
F	1350B	Basal Thrull (b)	B	C1	1.00	0.50	0.40
F	1350C	Basal Thrull (c)	B	C1	1.00	0.50	0.40
F	1350D	Basal Thrull (d)	B	C1	1.00	0.50	0.40
F	1351	Bottomless Vault	L	U1	5.00	3.50	2.00
F	1352A	Brassclaw Orcs (a)	R	C1	0.70	0.50	0.40
F	1352B	Brassclaw Orcs (b)	R	C1	0.70	0.50	0.40
F	1352C	Brassclaw Orcs (c)	R	C1	0.70	0.50	0.40
F	1352D	Brassclaw Orcs (d)	R	C1	0.70	0.50	0.40
F	1353	Breeding Pit	B	U3	3.00	2.00	1.80
F	1354A	Combat Medic (a)	W	C1	1.00	0.50	0.50
F	1354B	Combat Medic (b)	W	C1	1.00	0.50	0.50
F	1354C	Combat Medic (c)	W	C1	1.00	0.50	0.50
F	1354D	Combat Medic (d)	W	C1	1.00	0.50	0.50
F	1355	Conch Horn	Be	U1	4.30	2.50	1.80
F	1356	Deep Spawn	U	U3	3.30	2.00	1.00
F	1357	Delif's Cone	Be	C1	2.50	2.00	1.50
F	1358	Delif's Cube	Be	U1	4.50	4.00	2.10
F	1359	Derelor	B	U1	4.30	3.00	1.50
F	1360	Draconian Cylix	Be	U1	4.50	3.00	2.00
F	1361	Dwarven Armorer	R	U1	4.50	3.00	1.60
F	1362	Dwarven Catapult	R	U3	3.50	3.00	1.00
F	1363	Dwarven Hold	L	U1	4.50	4.00	2.00
F	1364	Dwarven Lieutenant	R	U3	2.50	1.00	0.50
F	1365	Dwarven Ruins	L	U2	2.50	2.00	1.80
F	1366A	Dwarven Soldier (a)	R	C1	0.90	0.50	0.40
F	1366B	Dwarven Soldier (b)	R	C1	0.90	0.50	0.40
F	1366C	Dwarven Soldier (c)	R	C1	0.90	0.50	0.40
F	1367	Ebon Praetor	B	U1	5.80	4.50	3.40
F	1368	Ebon Stronghold	L	U2	2.50	2.00	2.00
F	1369A	Elven Fortress (a)	G	C1	0.90	0.50	0.40
F	1369B	Elven Fortress (b)	G	C1	0.90	0.50	0.40
F	1369C	Elven Fortress (c)	G	C1	0.90	0.50	0.40
F	1369D	Elven Fortress (d)	G	C1	0.90	0.50	0.40
F	1370	Elven Lyre	Be	U1	3.80	3.00	2.50
F	1371	Elvish Farmer	G	U1	5.00	4.00	3.30
F	1372A	Elvish Hunter (a)	G	C1	1.10	0.50	0.50
F	1372B	Elvish Hunter (b)	G	C1	1.10	0.50	0.50
F	1372C	Elvish Hunter (c)	G	C1	1.10	0.50	0.50
F	1373A	Elvish Scout (a)	G	C1	0.90	0.50	0.50
F	1373B	Elvish Scout (b)	G	C1	0.90	0.50	0.50
F	1373C	Elvish Scout (c)	G	C1	0.90	0.50	0.50
F	1374	Farrel's Mantle	W	U3	2.50	1.00	0.70
F	1375A	Farrel's Zealot (a)	W	C1	1.10	0.50	0.50
F	1375B	Farrel's Zealot (b)	W	C1	1.10	0.50	0.50
F	1375C	Farrel's Zealot (c)	W	C1	1.10	0.50	0.50
