 	 	LEGENDS - SCRYE #5
 	 	NAME	COLOR	Type	RARITY	HIGH	MEDIAN	 	LOW
L	599	Abomination	B	Sum	U	5.00	4.50	   	4.00
L	600	Acid Rain	U	Sor	R	14.25	10.00	   	8.00
L	601	Active Volcano	R	Ins	C	1.00	0.50	   	0.30
L	602	Adun Oakenshield	Gld	SmL	R	12.00	12.00	   	9.00
L	603	Adventurer's Guildhouse	Be	L	U	3.00	3.00	   	2.00
L	604	Aisling Leprechaun	G	Sum	C	1.00	0.60	 ê 	0.50
L	605	Akron Legionnaire	W	Sum	R	12.00	10.00	   	8.00
L	606	Al-abara's Carpet	Be	A	R	12.00	10.00	   	8.00
L	607	Alabaster Potion	W	Ins	C	1.00	0.50	   	0.40
L	608	Alchor's Tomb	Be	A	R	10.00	9.00	 é 	8.00
L	609	All Hallow's Eve	B	Sor	R	19.00	15.00	   	12.75
L	610	Amrou Kithkin	W	Sum	C	1.00	0.50	   	0.30
L	611	Angelic Voices	W	E	R	14.00	11.50	 é 	7.50
L	612	Angus Mackenzie	Gld	SmL	R	12.00	9.30	 ê 	8.00
L	613	Anti-Magic Aura	U	ECr	C	1.00	1.00	   	0.90
L	614	Arboria	G	EW	U	4.00	4.00	 é 	3.00
L	615	Arcades Sabboth	Gld	Sum	R	25.00	23.00	 é 	20.00
L	616	Arena of the Ancients	Be	A	R	10.00	9.00	   	8.00
L	617	Avoid Fate	G	Int	C	1.00	0.80	 é 	0.30
L	618	Axelrod Gunnarson	Gld	SmL	R	12.00	10.00	   	8.80
L	619	Ayesha Tanaka	Gld	SmL	R	10.00	10.00	   	8.00
L	620	Azure Drake	U	Sum	U	5.00	4.00	   	3.00
L	621	Backdraft	R	Ins	U	4.00	3.00	   	3.00
L	622	Backfire	U	ECr	U	4.00	3.50	   	3.00
L	623	Barbary Apes	G	Sum	C	1.00	0.50	   	0.40
L	624	Barktooth Warbeard	Gld	SmL	U	6.00	5.00	   	4.00
L	625	Bartel Runeaxe	Gld	SmL	R	11.25	9.50	 ê 	7.60
L	626	Beasts of Bogardan	R	Sum	U	5.00	4.00	   	3.20
L	627	Black Mana Battery	Be	A	U	7.90	6.50	 é 	5.00
L	628	Blazing Effigy	R	Sum	C	1.00	0.50	 ê 	0.30
L	629	Blight	B	EL	U	4.00	4.00	 é 	3.00
L	630	Blood Lust	R	Ins	U	6.30	5.80	 é 	3.80
L	631	Blue Mana Battery	Be	A	U	7.00	6.00	   	5.00
L	632	Boomerang	U	Ins	C	1.00	0.50	 ê 	0.30
L	633	Boris Devilboon	Gld	SmL	R	12.00	11.00	 ê 	8.90
L	634	Brine Hag	U	Sum	U	5.00	4.00	   	3.00
L	635	Bronze Horse	Be	ACr	R	10.00	8.30	 é 	6.00
L	636	Carrion Ants	B	Sum	R	22.50	20.00	 é 	15.00
L	637	Cat Warriors	G	Sum	C	1.00	0.50	   	0.40
L	638	Cathedral of Serra	Be	L	U	3.30	3.00	   	3.00
L	639	Caverns of Despair	R	EW	R	10.00	9.50	 ê 	7.80
L	640	Chain Lightning	R	Sor	C	1.00	0.90	 é 	0.70
L	641	Chains of Mephistopheles	B	E	R	12.00	10.00	   	8.00
L	642	Chromium	Gld	SmL	R	24.25	22.50	 é 	19.50
L	643	Cleanse	W	Sor	R	15.00	12.00	 é 	10.50
L	644	Clergy of the Holy Nimbus	W	Sum	C	1.00	0.80	 é 	0.30
L	645	Cocoon	G	ECr	U	5.00	4.50	 é 	3.00
L	646	Concordant Crossroads	G	EW	R	10.00	9.50	 é 	8.40
L	647	Cosmic Horror	B	Sum	R	11.00	10.00	   	8.00
L	648	Craw Giant	G	Sum	U	9.80	7.00	 é 	5.30
L	649	Crevasse	R	E	U	4.00	3.80	 é 	3.40
L	650	Crimson Kobolds	R	Sum	C	1.00	0.60	 ê 	0.40
L	651	Crimson Manticore	R	Sum	R	10.00	9.00	   	8.00
L	652	Crookshank Kobolds	R	Sum	C	1.00	0.60	 ê 	0.40
L	653	Cyclopean Mummy	B	Sum	C	1.00	0.60	 é 	0.30
L	654	D'Avenant Archer	W	Sum	C	1.00	1.00	 é 	0.50
L	655	Dakkon Blackblade	Gld	SmL	R	23.00	18.00	 é 	15.00
L	656	Darkness	B	Ins	C	1.00	1.00	   	1.00
L	657	Deadfall	G	E	U	4.00	3.00	   	3.00
L	658	Demonic Torment	B	ECr	U	5.00	3.60	 ê 	3.00
L	659	Devouring Deep	U	Sum	C	1.00	1.00	 é 	0.50
L	660	Disharmony	R	Ins	R	10.50	10.00	 é 	7.00
L	661	Divine Intervention	W	E	R	11.25	10.25	 é 	8.40
L	662	Divine Offering	W	Ins	C	1.00	1.00	 é 	0.50
L	663	Divine Transformation	W	ECr	R	13.25	10.50	 é 	6.00
L	664	Dream Coat	U	ECr	U	4.00	3.00	   	3.00
L	665	Durkwood Boars	G	Sum	C	1.00	0.90	 é 	0.50
L	666	Dwarven Song	R	Ins	U	4.00	3.00	   	3.00
L	667	Elder Land Wurm	W	Sum	R	12.00	10.00	   	8.50
L	668	Elder Spawn	U	Sum	R	10.00	9.00	 é 	8.00
L	669	Elven Riders	G	Sum	R	10.25	10.00	   	9.00
L	670	Emerald Dragonfly	G	Sum	C	1.00	0.50	   	0.30
L	671	Enchanting Being	W	Sum	C	1.00	1.00	 é 	0.70
L	672	Enchantment Alteration	U	Ins	C	1.50	1.00	   	0.50
L	673	Energy Tap	U	Sor	C	1.00	1.00	 é 	0.50
L	674	Equinox	W	EL	C	1.20	1.00	 é 	1.00
L	675	Eternal Warrior	R	ECr	U	6.00	4.50	 é 	3.80
L	676	Eureka	G	Sor	R	15.00	14.00	 é 	10.50
L	677	Evil Eye of Orms-By-Gore	B	Sum	U	5.00	4.00	   	3.00
L	678	Fallen Angel	B	Sum	U	6.30	6.00	 é 	4.00
L	679	Falling Star	R	Sor	R	12.00	10.00	   	8.50
L	680	Feint	R	Ins	C	1.00	1.00	 é 	0.70
L	681	Field of Dreams	U	EW	R	10.00	8.30	 é 	8.00
L	682	Fire Sprites	G	Sum	C	1.00	1.00	 é 	0.70
L	683	Firestorm Phoenix	R	Sum	R	16.50	15.50	 é 	9.80
L	684	Flash Counter	U	Int	C	1.00	0.90	 é 	0.40
L	685	Flash Flood	U	Ins	C	1.10	1.00	 é 	0.50
L	686	Floral Spuzzem	G	Sum	U	4.00	4.00	   	3.60
L	687	Force Spike	U	Int	C	1.10	0.90	 é 	0.50
L	688	Forethought Amulet	Be	A	R	12.75	10.00	   	7.50
L	689	Fortified Area	W	E	U	4.00	3.10	 ê 	3.00
L	690	Frost Giant	R	Sum	U	5.00	4.00	   	3.50
L	691	Gabriel Angelfire	Gld	SmL	R	14.00	11.50	 é 	10.00
L	692	Gaseous Form	U	ECr	C	1.00	1.00	 é 	0.70
L	693	Gauntlets of Chaos	Be	A	R	13.00	11.00	 é 	10.00
L	694	Ghosts of the Damned	B	Sum	C	1.00	0.90	 é 	0.40
L	695	Giant Slug	B	Sum	C	1.00	1.00	 é 	0.50
L	696	Giant Strength	R	ECr	C	1.00	0.90	 é 	0.40
L	697	Giant Turtle	G	Sum	C	1.00	0.90	 é 	0.50
L	698	Glyph of Delusion	U	Ins	C	1.00	1.00	 é 	0.40
L	699	Glyph of Destruction	R	Ins	C	1.00	1.00	 é 	0.40
L	700	Glyph of Doom	B	Ins	C	1.00	1.00	 é 	0.40
L	701	Glyph of Life	W	Ins	C	1.00	1.00	 é 	0.40
L	702	Glyph of Reincarnation	G	Ins	C	1.00	0.90	 é 	0.40
L	703	Gosta Dirk	Gld	SmL	R	10.00	10.00	   	8.00
L	704	Gravity Sphere	R	EW	R	16.00	12.00	 é 	10.00
L	705	Great Defender	W	Ins	U	4.40	3.90	 é 	3.00
L	706	Great Wall	W	E	U	4.00	3.00	   	3.00
L	707	Greater Realm of Preservation	W	E	U	7.10	5.00	 é 	3.80
L	708	Greed	B	E	R	10.00	8.30	 é 	7.10
L	709	Green Mana Battery	Be	A	U	7.00	6.00	   	5.00
L	710	Gwendlyn Di Corci	Gld	SmL	R	12.00	10.00	   	9.00
L	711	Halfdane	Gld	SmL	R	10.50	10.00	   	8.50
L	712	Hammerheim	Be	LL	U	4.00	3.50	 é 	3.00
L	713	Hazezon Tamar	Gld	SmL	R	15.75	12.00	   	10.50
