 	 	UNLIMITED - SCRYE #5

 	 	CARD NAME	COLOR	TYPE	RARITY	HIGH	MEDIAN		LOW
U	1	Air Elemental	U	Sum	U	2.40	2.00	é	1.60
U	2	Ancestral Recall	U	Ins	R	33.75	27.50	é	25.00
U	3	Animate Artifact	U	EArt	U	1.50	1.30	é	1.00
U	4	Animate Dead	B	EDCr	U	1.50	1.00	ê	1.00
U	5	Animate Wall	W	EW	R	5.00	5.00	é	2.50
U	6	Ankh of Mishra	A	C	R	4.50	4.00	 	4.00
U	7	Armageddon	W	Sor	R	8.00	6.00	é	5.00
U	8	Aspect of Wolf	G	ECr	R	7.50	7.50	é	5.00
U	9	Bad Moon	B	E	R	7.00	7.00	é	5.00
U	10	Badlands	B/R	DL	R	8.00	8.00	é	7.00
U	11	Balance	W	Sor	R	6.80	6.00	é	4.90
U	12	Basalt Monolith	A	M	U	2.00	1.50	é	1.00
U	13	Bayou	B/G	DL	R	8.00	8.00	é	6.00
U	14	Benalish Hero	W	Sum	C	0.40	0.30	é	0.30
U	15	Berserk	G	Ins	U	15.00	14.00	é	11.00
U	16	Birds of Paradise	G	Sum	R	7.50	7.00	é	5.00
U	17	Black Knight	B	Sum	U	4.00	2.50	é	2.00
U	18	Black Lotus	A	M	R	67.50	55.00	 	50.00
U	19	Black Vise	A	C	U	3.00	2.00	é	1.50
U	20	Black Ward	W	ECr	U	1.00	0.80	ê	0.80
U	21	Blaze of Glory	W	Ins	R	22.00	20.00	é	16.00
U	22	Blessing	W	ECr	R	7.00	6.00	 	5.00
U	23	Blue Elemental Blast	U	Int	C	0.40	0.30	é	0.30
U	24	Blue Ward	W	ECr	U	1.00	0.80	ê	0.50
U	25	Bog Wraith	B	Sum	U	2.00	2.00	é	1.50
U	26	Braingeyser	U	Sor	R	8.00	7.50	é	5.00
U	27	Burrowing	R	ECr	U	1.00	1.00	 	1.00
U	28	Camouflage	G	Ins	U	7.30	6.00	é	5.00
U	29	Castle	W	E	U	2.00	1.50	 	1.30
U	30	Celestial Prism	A	M	U	2.00	1.50	é	1.50
U	31	Channel	G	Sor	U	2.00	1.50	ê	1.50
U	32	Chaos Orb	A	M	R	37.50	30.00	 	25.00
U	33	Chaoslace	R	Int	R	3.00	3.00	 	3.00
U	296	CoP:Black	W	E	C	0.40	0.30	é	0.30
U	34	CoP:Blue	W	E	C	0.40	0.30	é	0.30
U	35	CoP:Green	W	E	C	0.40	0.30	é	0.30
U	36	CoP:Red	W	E	C	0.40	0.30	é	0.30
U	37	CoP:White	W	E	C	0.40	0.30	é	0.30
U	38	Clockwork Beast	A	Cr	R	6.00	5.00	 	4.00
U	39	Clone	U	Sum	U	3.00	2.00	ê	2.00
U	40	Cockatrice	G	Sum	R	8.00	7.50	é	5.50
U	41	Consecrate Land	W	EL	U	6.80	6.00	 	6.00
U	42	Conservator	A	M	U	1.50	1.00	 	1.00
U	43	Contract from Below	B	Sor	R	4.00	3.50	 	3.00
U	44	Control Magic	U	ECr	U	3.00	2.00	é	1.50
U	45	Conversion	W	E	U	2.00	1.50	é	1.00
U	46	Copper Tablet	A	C	U	7.50	6.00	é	5.00
U	47	Copy Artifact	U	E	R	6.00	6.00	é	5.00
U	48	Counterspell	U	Int	U	2.50	2.00	 	2.00
U	49	Craw Wurm	G	Sum	C	0.40	0.40	é	0.30
U	50	Creature Bond	U	ECr	C	0.40	0.30	é	0.30
U	51	Crusade	W	E	R	7.40	7.00	é	5.90
U	52	Crystal Rod	A	P	U	1.50	1.00	 	1.00
U	53	Cursed Land	B	EL	U	1.50	1.00	 	1.00
U	54	Cyclopean Tomb	A	M	R	30.00	27.50	é	25.00
U	55	Dark Ritual	B	Int	C	0.40	0.30	é	0.30
U	56	Darkpact	B	Sor	R	5.00	3.00	 	2.00
U	57	Death Ward	W	Ins	C	0.40	0.30	é	0.30
U	58	Deathgrip	B	E	U	1.00	1.00	 	1.00
U	59	Deathlace	B	Int	R	4.50	3.00	 	2.00
U	60	Demonic Attorney	B	Sor	R	4.10	3.00	ê	3.00
U	61	Demonic Hordes	B	Sum	R	10.00	8.00	 	7.50
U	62	Demonic Tutor	B	Sor	U	3.00	2.00	 	2.00
U	63	Dingus Egg	A	C	R	5.00	4.50	ê	4.00
U	64	Disenchant	W	Ins	C	0.40	0.30	é	0.30
U	65	Disintegrate	R	Sor	C	0.50	0.40	é	0.30
U	66	Disrupting Scepter	A	M	R	4.50	4.00	 	4.00
U	67	Dragon Whelp	R	Sum	U	3.00	2.30	é	2.00
U	68	Drain Life	B	Sor	C	0.50	0.40	é	0.30
U	69	Drain Power	U	Sor	R	7.00	7.00	é	4.00
U	70	Drudge Skeletons	B	Sum	C	0.40	0.30	é	0.30
U	71	Dwarven Demolition Team	R	Sum	U	5.00	5.00	 	4.30
U	72	Dwarven Warriors	R	Sum	C	0.40	0.30	é	0.30
U	73	Earth Elemental	R	Sum	U	1.50	1.00	 	1.00
U	74	Earthbind	R	ECr	C	0.40	0.30	é	0.30
U	75	Earthquake	R	Sor	R	7.00	5.00	é	4.00
U	76	Elvish Archers	G	Sum	R	6.00	5.00	 	4.50
U	77	Evil Presence	B	EL	U	1.50	1.50	é	1.00
U	78	False Orders	R	Ins	C	4.50	4.00	é	2.00
U	79	Farmstead	W	E	R	5.00	4.50	 	4.00
U	80	Fastbond	G	E	R	5.50	5.00	é	5.00
U	81	Fear	B	ECr	C	0.50	0.40	é	0.30
U	82	Feedback	U	EE	U	2.00	1.50	é	1.00
U	83	Fire Elemental	R	Sum	U	1.50	1.00	ê	1.00
U	84	Fireball	R	Sor	C	0.50	0.40	 	0.30
U	85	Firebreathing	R	ECr	C	0.40	0.30	é	0.30
U	86	Flashfires	R	Sor	U	2.00	1.50	é	1.30
U	87	Flight	U	ECr	C	0.40	0.30	é	0.30
U	88	Fog	G	Ins	C	0.50	0.40	é	0.30
U	89	Force of Nature	G	Sum	R	10.50	10.00	 	8.50
U	90	Forcefield	A	P	R	40.00	35.00	 	30.00
U	297	Forest Eyes	G	L	C	0.10	0.10	 	0.10
U	91	Forest Path	G	L	C	0.10	0.10	 	0.10
U	92	Forest Rocks	G	L	C	0.10	0.10	 	0.10
U	93	Fork	R	Int	R	10.00	9.00	é	8.00
U	94	Frozen Shade	B	Sum	C	0.40	0.30	é	0.30
U	95	Fungusaur	G	Sum	R	7.50	6.00	ê	5.00
U	96	Gaea's Liege	G	Sum	R	10.00	9.00	é	8.00
U	97	Gauntlet of Might	A	C	R	65.00	50.00	é	37.50
U	98	Giant Growth	G	Ins	C	0.40	0.30	é	0.30
U	99	Giant Spider	G	Sum	C	0.40	0.30	é	0.30
U	100	Glasses of Urza	A	M	U	1.50	1.00	ê	1.00
U	101	Gloom	B	E	U	2.00	2.00	é	1.50
U	102	Goblin Balloon Brigade	R	Sum	U	2.00	1.50	é	1.00
U	103	Goblin King	R	Sum	R	9.00	8.50	é	6.00
U	104	Granite Gargoyle	R	Sum	R	7.00	6.00	ê	5.00
U	105	Gray Ogre	R	Sum	C	0.40	0.30	é	0.30
U	106	Green Ward	W	E	U	1.50	1.50	é	1.00
U	107	Grizzly Bears	G	Sum	C	0.40	0.30	é	0.30
U	108	Guardian Angel	W	Ins	C	0.40	0.30	é	0.30
U	109	Healing Salve	W	Ins	C	0.40	0.30	é	0.30
U	110	Helm of Chatzuk	A	M	R	4.00	4.00	ê	3.00
U	111	Hill Giant	R	Sum	C	0.40	0.30	é	0.30
U	112	Holy Armor	W	ECr	C	0.40	0.30	é	0.30
U	113	Holy Strength	W	ECr	C	0.40	0.30	é	0.30
U	114	Howl from Beyond	B	Ins	C	0.40	0.30	é	0.30
U	115	Howling Mine	A	C	R	6.00	5.00	 	5.00
U	116	Hurloon Minotaur	R	Sum	C	0.40	0.30	é	0.30
U	117	Hurricane	G	Sor	U	1.50	1.50	é	1.30
U	118	Hypnotic Specter	B	Sum	U	3.00	2.50	 	2.30
U	119	Ice Storm	G	Sor	U	7.80	6.00	 	6.00
U	120	Icy Manipulator	A	M	U	25.25	22.00	é	17.50
U	121	Illusionary Mask	A	P	R	26.00	25.00	é	16.50
U	122	Instill Energy	G	ECr	U	1.90	1.50	 	1.40
U	123	Invisibility	U	ECr	C	4.90	4.50	é	3.80
U	124	Iron Star	A	P	U	1.30	1.10	ê	0.90
U	125	Ironclaw Orcs	R	Sum	C	2.50	2.30	é	1.30
U	126	Ironroot Treefolk	G	Sum	C	0.40	0.30	é	0.20
